pair,n,D_obs,null_median,p_raw,permutation,permutations,seed,p_BH,sig_BH
Q1_low vs Q2,799,85.7492,,0.0968,county,9999,14196142,0.1162,False
Q1_low vs Q3,799,167.2711,,0.0002,county,9999,14196142,0.0003,True
Q1_low vs Q4_high,800,669.8175,216.5,0.0001,county,9999,14196142,0.0002,True
Q2 vs Q3,798,53.5088,,0.2492,county,9999,14196142,0.2492,False
Q2 vs Q4_high,799,398.4947,,0.0001,county,9999,14196142,0.0002,True
Q3 vs Q4_high,799,293.0319,,0.0001,county,9999,14196142,0.0002,True
